Username,Message
MysticShadowX,Oh no!
NeonNinja87,RIP
PixelProwler,Yikes
CosmicGamer23,F
ThunderFox96,Ouch
MidnightHowler,That hurts
StarlightSniper,Facepalm
BlazeRunnerX,Oops
CyberSpectre,FailFish
NovaWraith,Noooo
FrostByte88,Brutal
StormChaserX,Not like this
PhoenixFury17,Welp
EchoEnigma,Disaster
QuantumQuasar,Fail
ShadowSlayer99,Rough
SolarSpartan,That's unfortunate
LunarLegendX,Tragic
OmegaOutlaw,Grim
AlphaAvalanche,The agony
SpectralSphinx,Seriously?
Akaron,Oh dear
BeaconBaked,"That's rough, buddy"
Zholu,Unlucky
Zhobin,Painful to watch
CyberneticChaos,Eek
RadiantRebel,Cringe
DarkStarDynamo,Downfall
NexusNemesis,The horror
HyperHavocX,Heartbreaking
SolarFlare91,"Well, that's awkward"
QuantumQuake,Facepalm moment
FrostFang77,Fail compilation incoming
ShadowStrikerX,Wince
EclipseEmpress,Epic fail
BinaryBlast,That's gotta sting
MysticMarauder,RIP in pepperoni
NeonNebulaX,Can't look away
NovaNemesis,Bruh moment
PixelPirateX,Catastrophe
StarbornSorcerer,"Yikes, that's rough"
ThunderThrasherX,Epic facepalm
BlazeBountyHunter,Rage quit incoming
CosmicCrimson,Total disaster
DarkDragon99,Oh the humanity
WiredBrain,Crash and burn
BrainKim78,Fail parade
Dzok,The agony of defeat
Zholu,Major oof
LeoParagili,It's all falling apart
SamTheHansen,Womp womp
Jaddoggy,I can't even
Kanoowla,The struggle is real
xXReaper76Xx,That's a rip
OceacsideDonuts,Failed it
JanJam,It's a trainwreck
DannyIsAwesome,Failstorm incoming
ryanisAwesome101,That's a disasterpiece
BahaBlasted,Epic fail sauce
jpeg,Boowomp
